Light Intensity (% of scale max) Alessio_0.04_1.0_lampada	Position (m) Alessio_0.04_1.0_lampada
0.03793	-0.167939
0.03821	-0.167939
0.03825	-0.167939
0.0381	-0.167939
0.03815	-0.168057
0.0386	-0.168254
0.03851	-0.168412
0.03606	-0.169004
0.03427	-0.1693
0.03305	-0.169832
0.03268	-0.170404
0.03235	-0.170523
0.03224	-0.170799
0.03136	-0.17141
0.03102	-0.171785
0.03096	-0.171963
0.03114	-0.172357
0.03116	-0.172495
0.03151	-0.17283
0.03134	-0.172969
0.03162	-0.172969
0.03142	-0.172969
0.03131	-0.172949
0.03143	-0.17289
0.03136	-0.17289
0.03181	-0.17289
0.03159	-0.17289
0.03165	-0.17289
0.03146	-0.172909
0.03149	-0.172949
0.03151	-0.173008
0.03156	-0.173264
0.03212	-0.173639
0.03181	-0.173718
0.03247	-0.174231
0.03259	-0.174902
0.03325	-0.175197
0.03542	-0.175947
0.03606	-0.176302
0.03738	-0.176637
0.03751	-0.176894
0.03712	-0.177012
0.03682	-0.177288
0.03662	-0.177801
0.03708	-0.177959
0.03719	-0.177959
0.03743	-0.177959
0.0374	-0.177959
0.03783	-0.177821
0.03818	-0.177821
0.03815	-0.177821
0.03844	-0.177821
0.03902	-0.177821
0.03853	-0.177821
0.03883	-0.177821
0.03905	-0.177821
0.03867	-0.177939
0.03909	-0.178077
0.04221	-0.178689
0.04329	-0.179241
0.04189	-0.179774
0.04181	-0.179793
0.04164	-0.179793
0.04158	-0.179793
0.04156	-0.179793
0.04169	-0.179813
0.04143	-0.179813
0.04164	-0.179813
0.04181	-0.179813
0.04144	-0.179793
0.04149	-0.179793
0.04086	-0.179793
0.04115	-0.179793
0.04099	-0.179793
0.04147	-0.179793
0.04128	-0.179774
0.04124	-0.179655
0.04054	-0.179478
0.04066	-0.179399
0.04124	-0.179064
0.04256	-0.178768
0.04379	-0.17857
0.04422	-0.178334
0.04416	-0.178117
0.04343	-0.17788
0.04158	-0.177663
0.0412	-0.177505
0.03949	-0.177032
0.03918	-0.176558
0.03888	-0.17646
0.0394	-0.175809
0.03766	-0.175375
0.03717	-0.175316
0.03622	-0.175
0.03613	-0.174902
0.03593	-0.174902
0.03612	-0.174902
0.0359	-0.174921
0.03532	-0.175099
0.03522	-0.175099
0.03485	-0.175099
0.03528	-0.175099
0.03514	-0.175119
0.03519	-0.175119
0.03488	-0.175099
0.0356	-0.174961
0.03511	-0.174882
0.03476	-0.174586
0.03452	-0.174527
0.03421	-0.174408
0.03349	-0.173698
0.03299	-0.173146
